0,2,1,4,0,1,2,3,0,2,3,9,3,9,14,0
1,2,7,3,2,2,5,1,2,1,7,4,15,10,0,14
2,4,1,4,1,1,0,3,1,4,2,1,14,0,10,9
3,1,2,1,0,2,1,1,3,1,1,1,0,14,15,3
1,2,1,6,1,2,1,5,1,13,15,0,1,1,4,9
1,2,3,2,2,1,6,5,13,5,0,15,1,2,7,3
2,5,2,1,1,4,2,3,12,0,5,13,1,4,1,2
1,0,2,0,1,1,1,1,0,12,13,1,3,1,2,0
1,1,3,3,3,11,15,0,1,3,5,5,1,3,1,3
2,2,3,3,12,13,0,15,1,2,6,1,1,0,5,2
3,7,2,2,13,0,13,11,1,4,1,2,2,1,2,1
4,3,4,0,0,13,12,3,1,1,2,1,0,1,2,0
3,13,12,0,0,2,3,3,0,1,2,6,1,4,3,4
9,12,0,12,4,2,3,3,2,2,3,1,2,1,7,1
13,0,12,13,3,7,2,1,0,5,2,2,1,4,2,2
0,13,9,3,4,3,2,1,1,2,1,1,3,2,1,0
